uri,label,pageRank,influenced_out,influenced_in,influenced_total,almaMater_out,knownFor_out,notableWork_out,religion_out,ideology_out,field_in,almaMater_in,religion_in,ideology_in,fields,likely_religion_or_belief,likely_institution,likely_field_or_discipline
<http://dbpedia.org/resource/Charles_Ofria>,Charles Ofria,0.34071884490355514,0,0,0,2,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/David_J._Wineland>,David J. Wineland,0.3406706314307262,0,1,1,2,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Allan_Wilson_(biologist)>,Allan Wilson (biologist),0.34066028469431814,0,1,1,3,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Nicolaas_Bloembergen>,Nicolaas Bloembergen,0.34062244921586204,1,0,1,2,7,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Visual_Basic_.NET>,Visual Basic .NET,0.3403801095621542,1,4,5,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Grace_Ji-Sun_Kim>,Grace Ji-Sun Kim,0.34036659383787476,0,2,2,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Wendy_Brown_(political_theorist)>,Wendy Brown (political theorist),0.3403242397864365,0,6,6,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/David_Papineau>,David Papineau,0.3401953386073632,1,1,2,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/F._H._Bradley>,F. H. Bradley,0.34016350346863966,11,7,18,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Harry_Hammond_Hess>,Harry Hammond Hess,0.340106973849282,1,1,2,1,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Jupyter>,Jupyter,0.3400990031603793,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Helmut_Wautischer>,Helmut Wautischer,0.3395627319529389,0,4,4,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Mattias_Kumm>,Mattias Kumm,0.3395403264081163,0,3,3,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Ted_Honderich>,Ted Honderich,0.33951424058878993,0,5,5,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Erin_Manning_(theorist)>,Erin Manning (theorist),0.3391800105635741,0,7,7,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/André_Chantemesse>,André Chantemesse,0.33909915502356547,0,3,3,0,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Nelson_Goodman>,Nelson Goodman,0.33907785864689355,12,8,20,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Richard_of_Saint_Victor>,Richard of Saint Victor,0.3390256219118272,2,1,3,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Eric_Birley>,Eric Birley,0.3389398341362939,0,2,2,2,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Carolyne_Van_Vliet>,Carolyne Van Vliet,0.33888623647995086,0,0,0,1,3,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Stephen_P._Boyd>,Stephen P. Boyd,0.3388593750000001,0,0,0,2,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Michael_Dummett>,Michael Dummett,0.3388313182478057,17,8,25,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Sissela_Bok>,Sissela Bok,0.33871936204146263,1,3,4,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Eleanor_Duckworth>,Eleanor Duckworth,0.3387156807013038,0,3,3,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Vasily_Davydov>,Vasily Davydov,0.33869992986595193,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Alexandre_Mas>,Alexandre Mas,0.33868520472575225,0,1,1,2,0,0,0,0,0,0,0,0,[Labor economics],false,false,false
<http://dbpedia.org/resource/Richard_Bandler>,Richard Bandler,0.33867242695587363,0,2,2,0,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/John_Searle>,John Searle,0.3386552029316173,4,10,14,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Jan_Waszkiewicz>,Jan Waszkiewicz,0.3385258141732343,0,0,0,3,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Jean-Marie_Souriau>,Jean-Marie Souriau,0.33846107447125634,0,0,0,2,6,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Kalanit_Grill-Spector>,Kalanit Grill-Spector,0.3384484073331164,0,0,0,0,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Julia_Driver>,Julia Driver,0.3383948103354667,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Josiah_Willard_Gibbs>,Josiah Willard Gibbs,0.3383299904601431,3,3,6,1,38,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Charles_Krebs>,Charles Krebs,0.33827326127950497,2,0,2,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Jean-Louis_Arcand>,Jean-Louis Arcand,0.33826522911410817,0,4,4,1,0,0,0,0,0,0,0,0,"[Development economics, Microeconomics]",false,false,false
<http://dbpedia.org/resource/Svetozar_Marković>,Svetozar Marković,0.3381932865590868,2,3,5,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/SBML>,SBML,0.3381870907738096,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Social_anthropology>,Social anthropology,0.33805732028349667,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Antonie_Pannekoek>,Antonie Pannekoek,0.33803501128876184,6,3,9,1,3,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Albrecht_Penck>,Albrecht Penck,0.3379611238293949,4,2,6,1,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Harvey_J._Levin>,Harvey J. Levin,0.3379342820118236,5,4,9,2,0,0,0,0,0,0,0,0,[Regulatory economics],false,false,false
<http://dbpedia.org/resource/Robert_Frodeman>,Robert Frodeman,0.33791165363310716,0,1,1,0,0,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Walter_Feit>,Walter Feit,0.33784369186251373,0,0,0,2,1,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/Cathleen_Crudden>,Cathleen Crudden,0.3378102718199416,0,0,0,2,2,0,0,0,0,0,0,0,[],false,false,false
<http://dbpedia.org/resource/CGOL>,CGOL,0.33777434770926795,0,3,3,0,0,0,0,0,0,0,0,0,[],false,false,false
